Week Day,Date In,# 120 ltr Bins,Weight In (kg),Run time (hr),Date Ejected,Weight out (kg),Weight of Oversized (kg),Volume Out (ltr),Volume of Oversized (ltr),Volume In (ltr),Organics Density (kg/120 ltr),Mass Reduction,Volume Reduction,Weekly Weight In (kg),Weight Collected (kg),Est. CO2-e Produced if landfill (ton),Est. Energy Use (kWh),Est. CO2-e Produced by Dehydrator (ton),Total Monthly Weight In (kg),Total Monthly Weight Out (kg)
Sunday,07/10/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,07/11/2016 12:00:00 AM,11,596.2,10.5,12-Jul,219.1,22.1,440,40,1320,54.2,60,64,2359,,0.954,417.3,0.563,,
Tuesday,07/12/2016 12:00:00 AM,9,582,10.5,13-Jul,194.9,18.4,380,50,1080,64.67,63,60,,,0.931,407.4,0.55,,
Wednesday,07/13/2016 12:00:00 AM,11,592.2,10.5,14-Jul,190.6,40.7,400,90,1320,53.84,61,63,,,0.948,414.5,0.56,,
Thursday,07/14/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,07/15/2016 12:00:00 AM,10,609.1,10.5,16-Jul,209.4,51.6,340,80,1200,60.91,57,65,,1053,0.975,426.4,0.576,,
Saturday,07/16/2016 12:00:00 AM,11,600.1,10.5,18-Jul,183.3,24.2,340,20,1320,54.55,65,73,,,0.96,420.1,0.567,,
Sunday,07/17/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,07/18/2016 12:00:00 AM,10,604.4,10.5,20-Jul,200.8,95.2,340,30,1200,60.44,51,69,2979.6,,0.967,423.1,0.571,,
Tuesday,07/19/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,07/20/2016 12:00:00 AM,8,597.8,10.5,22-Jul,169.9,21.8,340,50,960,74.73,68,59,,,0.956,418.5,0.565,,
Thursday,07/21/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,07/22/2016 12:00:00 AM,9,610.9,11,23-Jul,185.7,22,330,20,1080,67.88,66,68,,763.4,0.977,427.6,0.577,,
Saturday,07/23/2016 12:00:00 AM,9,590.4,11,24-Jul,206.7,23.8,400,50,1080,65.6,61,58,,,0.945,413.3,0.558,,
Sunday,07/24/2016 12:00:00 AM,9,609.8,11,25-Jul,140.2,19.1,245,20,1080,67.76,74,75,,,0.976,426.9,0.576,,
Monday,07/25/2016 12:00:00 AM,,,,,,,,,,,,,3013.3,,,,,,
Tuesday,07/26/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,07/27/2016 12:00:00 AM,10,611.9,10.5,28-Jul,202.5,27.3,380,70,1200,61.19,62,63,,,0.979,428.3,0.578,,
Thursday,07/28/2016 12:00:00 AM,9,591.4,10.5,29-Jul,218.8,28.6,270,50,1080,65.71,58,70,,,0.946,414,0.559,,
Friday,07/29/2016 12:00:00 AM,9,609.5,10.5,30-Jul,219.2,24.8,420,40,1080,67.72,60,57,,735.1,0.975,426.7,0.576,,
Saturday,07/30/2016 12:00:00 AM,10,601.4,10.5,31-Jul,174.7,38.6,240,60,1200,60.14,65,75,,,0.962,421,0.568,,
Sunday,07/31/2016 12:00:00 AM,9,594.6,10.5,2-Aug,220.5,23.4,420,20,1080,66.07,59,59,,,0.951,416.2,0.562,12547,4204.4
Monday,08/01/2016 12:00:00 AM,,,,,,,,,,,,,3008.8,,,,,,
Tuesday,08/02/2016 12:00:00 AM,9,584.3,10.5,4-Aug,215.3,23.8,330,60,1080,64.92,59,64,,,0.935,409,0.552,,
Wednesday,08/03/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,08/04/2016 12:00:00 AM,11,579.5,10.5,5-Aug,190,21.3,350,40,1320,52.68,64,70,,,0.927,405.7,0.548,,
Friday,08/05/2016 12:00:00 AM,9,587.8,11,6-Aug,211.7,22,350,40,1080,65.31,60,64,,1048.5,0.94,411.5,0.555,,
